전략,구간,매도체결건수,승률(%),손익비,총수익률(%),MDD(%),CAGR(%),BuyHold대비포착률(%),Calmar(CAGR/|MDD|)
기존(가드 없음),전체기간(2010~2026),29,62.07,1.39,129.43,-86.09,5.18,0.69,0.06
기존(가드 없음),2022-01-03 ~ 2022-12-30,0,0.0,0.0,-77.08,-86.09,,,
G역전 1/3 축소,전체기간(2010~2026),42,66.67,1.24,323.28,-78.68,9.17,1.73,0.12
G역전 1/3 축소,2022-01-03 ~ 2022-12-30,5,20.0,0.36,-33.17,-50.64,,,
ATR스탑(x2) 단독,전체기간(2010~2026),33,39.39,3.22,-7.35,-65.22,-0.46,-0.04,-0.01
ATR스탑(x2) 단독,2022-01-03 ~ 2022-12-30,3,33.33,1.7,-18.14,-42.71,,,
ATR스탑(x3) 단독,전체기간(2010~2026),32,50.0,5.83,270.52,-68.55,8.29,1.45,0.12
ATR스탑(x3) 단독,2022-01-03 ~ 2022-12-30,3,66.67,0.76,-4.41,-41.92,,,
ATR스탑(x4) 단독,전체기간(2010~2026),31,58.06,4.03,182.17,-75.15,6.51,0.97,0.09
ATR스탑(x4) 단독,2022-01-03 ~ 2022-12-30,3,33.33,0.55,-25.15,-50.51,,,
G역전 1/3축소 + ATR스탑(x3) 결합,전체기간(2010~2026),39,48.72,4.95,358.99,-57.53,9.71,1.92,0.17
G역전 1/3축소 + ATR스탑(x3) 결합,2022-01-03 ~ 2022-12-30,5,60.0,0.63,-2.18,-32.77,,,
