전략,구간,매도체결건수,승률(%),평균수익률(%),중앙값수익률(%),총수익률(%),MDD(%)
추세필터+꼭지바닥 롤링매매(신규),전체기간(2010~2026),29,62.07,16.04,4.33,1821.44,-80.38
추세필터+꼭지바닥 롤링매매 + ATR x3스탑,전체기간(2010~2026),47,44.68,-0.71,-8.98,29.39,-32.56
추세필터+꼭지바닥 롤링매매 + ATR x4스탑,전체기간(2010~2026),36,44.44,-2.53,-5.54,15.76,-47.12
추세필터+꼭지바닥 롤링매매 + ATR x5스탑,전체기간(2010~2026),33,45.45,-3.23,-4.25,22.08,-68.73
추세필터+꼭지바닥 롤링매매 + ATR x6스탑,전체기간(2010~2026),30,46.67,5.85,-6.48,230.66,-70.98
기존 최종전략(G역전1/3축소+ATR x3스탑),전체기간(2010~2026),39,48.72,28.1,-7.21,358.99,-57.53
추세필터+꼭지바닥 롤링매매(신규),2022-01-03 ~ 2022-12-30,1,0.0,-34.82,-34.82,-64.92,-73.51
추세필터+꼭지바닥 롤링매매 + ATR x3스탑,2022-01-03 ~ 2022-12-30,1,0.0,-11.93,-11.93,-11.47,-13.27
추세필터+꼭지바닥 롤링매매 + ATR x4스탑,2022-01-03 ~ 2022-12-30,1,0.0,-20.14,-20.14,-18.32,-19.89
추세필터+꼭지바닥 롤링매매 + ATR x5스탑,2022-01-03 ~ 2022-12-30,1,0.0,-23.53,-23.53,-42.24,-42.24
추세필터+꼭지바닥 롤링매매 + ATR x6스탑,2022-01-03 ~ 2022-12-30,1,0.0,-28.69,-28.69,-46.14,-48.67
기존 최종전략(G역전1/3축소+ATR x3스탑),2022-01-03 ~ 2022-12-30,5,60.0,-0.42,0.02,-2.18,-32.77
