종목코드,종목명,매수일,매도일,매수가,매도가,수익률(%)
329180,HD현대중공업,2021-12-07,2021-12-08,113000,111000,-1.98
089030,테크윙,2021-12-08,2021-12-20,11493,10582,-8.12
089030,테크윙,2021-12-24,2022-01-11,11265,10379,-8.06
034020,두산에너빌리티,2022-04-21,2022-05-02,22000,20350,-7.69
329180,HD현대중공업,2022-03-25,2022-05-09,118000,133500,12.9
267260,HD현대일렉트릭,2022-06-08,2022-06-17,24400,19950,-18.41
267260,HD현대일렉트릭,2022-07-28,2022-09-21,24350,31150,27.66
010170,대한광통신,2022-09-13,2022-09-28,2699,2268,-16.15
267260,HD현대일렉트릭,2022-10-07,2022-10-26,34600,31550,-9.01
000660,SK하이닉스,2022-11-15,2022-11-24,91300,86900,-5.02
267260,HD현대일렉트릭,2022-10-28,2022-12-07,34200,37400,9.13
267260,HD현대일렉트릭,2022-12-19,2023-01-05,42550,38850,-8.89
090430,아모레퍼시픽,2022-12-28,2023-02-23,141000,145300,2.83
034020,두산에너빌리티,2023-04-07,2023-05-02,17130,16630,-3.12
000660,SK하이닉스,2023-05-03,2023-05-12,89000,86300,-3.24
005930,삼성전자,2023-05-10,2023-05-15,65500,64100,-2.34
089030,테크윙,2023-05-12,2023-05-17,6740,6720,-0.51
000660,SK하이닉스,2023-05-19,2023-06-29,95000,115200,21.01
005930,삼성전자,2023-05-22,2023-07-11,68400,70200,2.42
000660,SK하이닉스,2023-07-05,2023-07-11,118100,111500,-5.79
034020,두산에너빌리티,2023-07-18,2023-07-19,17690,17350,-2.13
034020,두산에너빌리티,2023-07-20,2023-07-21,17650,17500,-1.06
005930,삼성전자,2023-07-19,2023-07-25,72700,70000,-3.92
010170,대한광통신,2023-07-19,2023-07-26,2012,1815,-9.98
089030,테크윙,2023-05-22,2023-07-31,7390,8790,18.69
089030,테크윙,2023-08-03,2023-08-04,8210,8130,-1.18
000660,SK하이닉스,2023-07-19,2023-08-14,118700,114600,-3.66
