종목코드,종목명,매수일,매도일,매수가,매도가,수익률(%)
035720,카카오,2021-11-26,2021-11-29,127500,123000,-3.73
005380,현대차,2021-11-25,2021-11-30,212500,202000,-5.14
105560,KB금융,2021-11-24,2021-12-01,57900,53300,-8.14
005380,현대차,2021-12-14,2022-01-18,208000,206000,-1.17
105560,KB금융,2022-01-13,2022-02-03,62300,60600,-2.93
105560,KB금융,2022-02-10,2022-02-28,65200,59400,-9.09
207940,삼성바이오로직스,2022-04-20,2022-04-26,1215624,1171473,-3.83
105560,KB금융,2022-04-25,2022-05-02,60900,58000,-4.96
207940,삼성바이오로직스,2022-05-03,2022-05-12,1234756,1162643,-6.04
005380,현대차,2022-05-20,2022-06-13,183500,180000,-2.11
373220,LG에너지솔루션,2022-05-24,2022-06-15,438500,426000,-3.05
207940,삼성바이오로직스,2022-06-28,2022-07-01,1190605,1175888,-1.44
005380,현대차,2022-09-02,2022-09-26,199000,187000,-6.23
105560,KB금융,2022-09-20,2022-09-28,50300,44500,-11.72
000660,SK하이닉스,2022-11-15,2022-11-24,91300,86900,-5.02
373220,LG에너지솔루션,2022-10-13,2022-11-25,484500,568000,16.99
207940,삼성바이오로직스,2022-11-30,2022-12-05,1296568,1280379,-1.46
035720,카카오,2022-12-13,2022-12-21,59000,54900,-7.14
105560,KB금융,2023-01-10,2023-02-06,56400,56400,-0.21
035720,카카오,2023-01-10,2023-02-21,60700,64500,6.04
035420,NAVER,2023-01-10,2023-02-23,193000,212000,9.61
207940,삼성바이오로직스,2023-04-12,2023-04-24,1187662,1164115,-2.19
373220,LG에너지솔루션,2023-03-08,2023-04-24,559000,566000,1.04
000660,SK하이닉스,2023-05-03,2023-05-12,89000,86300,-3.24
005930,삼성전자,2023-05-10,2023-05-15,65500,64100,-2.34
105560,KB금융,2023-05-23,2023-05-30,49600,48250,-2.93
005380,현대차,2023-03-23,2023-06-01,179300,199800,11.2
000660,SK하이닉스,2023-05-19,2023-06-29,95000,115200,21.01
005930,삼성전자,2023-05-22,2023-07-11,68400,70200,2.42
000660,SK하이닉스,2023-07-05,2023-07-11,118100,111500,-5.79
005380,현대차,2023-06-23,2023-07-19,201000,201500,0.04
005930,삼성전자,2023-07-19,2023-07-25,72700,70000,-3.92
000660,SK하이닉스,2023-07-19,2023-08-14,118700,114600,-3.66
035420,NAVER,2023-09-15,2023-09-26,225000,207000,-8.19
105560,KB금융,2023-10-19,2023-10-26,57200,54000,-5.79
000660,SK하이닉스,2023-11-08,2023-12-06,131600,126800,-3.85
000660,SK하이닉스,2023-12-18,2024-01-11,139000,132400,-4.95
