종목코드,종목명,매수일,매도일,매수가,매도가,수익률(%)
SOXL,SOXL(반도체 3배 레버리지),2012-03-19,2012-04-09,0.7149999737739563,0.6276670098304749,-12.4
SOXL,SOXL(반도체 3배 레버리지),2012-09-17,2012-09-25,0.5523329973220825,0.4830000102519989,-12.74
SOXL,SOXL(반도체 3배 레버리지),2013-03-06,2013-03-25,0.6449999809265137,0.6320000290870667,-2.22
SOXL,SOXL(반도체 3배 레버리지),2013-06-19,2013-06-25,0.8458330035209656,0.718999981880188,-15.17
SOXL,SOXL(반도체 3배 레버리지),2013-07-08,2013-07-30,0.8418329954147339,0.7971670031547546,-5.5
SOXL,SOXL(반도체 3배 레버리지),2013-10-16,2013-11-13,0.9269999861717224,0.9433330297470092,1.55
SOXL,SOXL(반도체 3배 레버리지),2013-11-18,2013-11-26,0.9900000095367432,0.9743329882621764,-1.79
SOXL,SOXL(반도체 3배 레버리지),2013-11-29,2014-01-30,1.0,1.1023329496383667,10.0
SOXL,SOXL(반도체 3배 레버리지),2014-02-13,2014-04-14,1.2130000591278076,1.3228329420089722,8.83
SOXL,SOXL(반도체 3배 레버리지),2014-04-25,2014-05-02,1.4780000448226929,1.369832992553711,-7.51
SOXL,SOXL(반도체 3배 레버리지),2014-09-25,2014-09-26,1.9723329544067385,1.8980000019073489,-3.97
SOXL,SOXL(반도체 3배 레버리지),2014-12-26,2015-01-07,2.36899995803833,2.0103330612182617,-15.32
SOXL,SOXL(반도체 3배 레버리지),2015-03-23,2015-03-27,2.66016697883606,2.072499990463257,-22.25
SOXL,SOXL(반도체 3배 레버리지),2015-11-27,2015-12-16,1.835332989692688,1.835332989692688,-0.21
SOXL,SOXL(반도체 3배 레버리지),2016-01-04,2016-01-05,1.6826670169830322,1.74399995803833,3.43
SOXL,SOXL(반도체 3배 레버리지),2016-04-20,2016-04-21,1.690000057220459,1.7513329982757568,3.41
SOXL,SOXL(반도체 3배 레버리지),2016-07-13,2016-09-13,2.093333005905152,2.620666980743408,24.93
SOXL,SOXL(반도체 3배 레버리지),2016-09-22,2016-10-18,2.9866669178009038,2.992000102996826,-0.03
SOXL,SOXL(반도체 3배 레버리지),2016-10-28,2016-11-04,3.064666986465454,2.8340001106262207,-7.72
SOXL,SOXL(반도체 3배 레버리지),2016-11-14,2016-12-08,3.200000047683716,3.7826669216156006,17.96
SOXL,SOXL(반도체 3배 레버리지),2016-12-09,2017-01-06,3.9800000190734863,3.767333030700684,-5.54
SOXL,SOXL(반도체 3배 레버리지),2017-01-19,2017-04-10,3.931999921798706,5.031332969665527,27.69
SOXL,SOXL(반도체 3배 레버리지),2017-04-27,2017-06-19,5.261332988739014,6.165332794189453,16.94
SOXL,SOXL(반도체 3배 레버리지),2017-08-31,2017-12-04,6.563333034515381,9.706666946411133,47.58
SOXL,SOXL(반도체 3배 레버리지),2019-03-19,2019-05-09,9.362667083740234,10.56666660308838,12.62
SOXL,SOXL(반도체 3배 레버리지),2019-10-16,2019-11-27,12.526000022888184,15.167332649230955,20.83
SOXL,SOXL(반도체 3배 레버리지),2019-12-13,2020-01-31,17.053333282470703,17.757999420166016,3.91
SOXL,SOXL(반도체 3배 레버리지),2020-02-13,2020-02-26,20.562667846679688,15.0686674118042,-26.87
SOXL,SOXL(반도체 3배 레버리지),2020-07-07,2020-09-11,13.298666954040527,15.029333114624023,12.78
SOXL,SOXL(반도체 3배 레버리지),2020-11-10,2020-12-30,21.996000289916992,29.67200088500977,34.61
SOXL,SOXL(반도체 3배 레버리지),2021-01-05,2021-02-02,30.444000244140625,39.13266754150391,28.27
SOXL,SOXL(반도체 3배 레버리지),2021-02-11,2021-03-02,40.88466644287109,42.93999862670898,4.81
SOXL,SOXL(반도체 3배 레버리지),2021-07-30,2021-08-18,42.18999862670898,40.290000915527344,-4.7
SOXL,SOXL(반도체 3배 레버리지),2021-08-31,2021-09-24,47.77000045776367,46.86000061035156,-2.11
SOXL,SOXL(반도체 3배 레버리지),2021-12-09,2021-12-20,69.43000030517578,56.13999938964844,-19.31
SOXL,SOXL(반도체 3배 레버리지),2021-12-29,2022-01-11,70.41999816894531,59.09000015258789,-16.27
SOXL,SOXL(반도체 3배 레버리지),2022-12-15,2022-12-16,12.229999542236328,11.199999809265137,-8.61
SOXL,SOXL(반도체 3배 레버리지),2023-03-20,2023-04-13,16.139999389648438,15.390000343322754,-4.85
SOXL,SOXL(반도체 3배 레버리지),2023-07-05,2023-08-09,24.989999771118164,24.399999618530277,-2.57
SOXL,SOXL(반도체 3배 레버리지),2024-01-22,2024-03-20,35.68000030517578,41.59000015258789,16.32
SOXL,SOXL(반도체 3배 레버리지),2024-04-02,2024-04-05,45.83000183105469,42.70000076293945,-7.03
SOXL,SOXL(반도체 3배 레버리지),2024-07-09,2024-07-22,65.12999725341797,50.04999923706055,-23.32
SOXL,SOXL(반도체 3배 레버리지),2025-08-14,2025-09-05,28.1200008392334,26.81999969482422,-4.82
SOXL,SOXL(반도체 3배 레버리지),2025-09-15,2025-11-13,29.13999938964844,42.16999816894531,44.41
SOXL,SOXL(반도체 3배 레버리지),2026-01-02,2026-02-10,45.130001068115234,64.66999816894531,43.0
SOXL,SOXL(반도체 3배 레버리지),2026-02-18,2026-03-05,65.26000213623047,55.31999969482422,-15.41
