매도일,매도비중,매수평단가,매도가,수익률(%)
2010-10-28,0.3333,0.4004,0.6126,53.01
2012-01-20,0.3333,0.7645,0.6155,-19.49
2012-02-13,0.3333,0.7645,0.6712,-12.21
2012-02-21,0.3333,0.7645,0.7149,-6.48
2012-08-10,0.3333,0.4646,0.5356,15.29
2012-08-21,0.3333,0.4646,0.5358,15.33
2013-01-03,0.3333,0.4646,0.5024,8.13
2014-12-04,0.3333,1.382,2.3775,72.03
2014-12-08,0.3333,1.382,2.4241,75.4
2015-10-23,0.3333,2.0428,1.9648,-3.81
2016-06-13,0.3333,1.8175,1.9169,5.47
2016-07-22,0.3333,1.8175,2.225,22.42
2016-07-27,0.3333,1.8175,2.6515,45.89
2019-02-07,0.3333,6.787,7.8513,15.68
2019-02-28,0.3333,6.787,8.3078,22.41
2019-03-22,0.3333,6.787,9.9918,47.22
2020-06-04,0.3333,12.8884,11.6206,-9.84
2020-06-25,0.3333,12.8884,11.616,-9.87
2020-08-04,0.3333,12.8884,15.8956,23.33
2021-11-03,0.3333,37.3256,51.9685,39.23
2023-02-03,0.3333,42.7864,16.7473,-60.86
2023-02-07,0.3333,42.7864,16.1884,-62.16
2023-02-09,0.3333,42.7864,17.2962,-59.58
2023-05-26,0.3333,13.332,20.0109,50.1
2023-12-13,0.6667,16.2174,26.6479,64.32
2024-05-29,0.3333,32.8249,51.0503,55.52
2025-07-07,0.3333,31.8348,25.6798,-19.33
2025-07-17,0.3333,31.8348,26.9074,-15.48
2025-09-19,0.3333,31.8348,33.4946,5.21
