매도일,매도비중,매수평단가,매도가,수익률(%)
2012-01-20,0.3333,0.7645,0.6155,-19.49
2012-02-13,0.3333,0.7645,0.6712,-12.21
2012-02-21,0.3333,0.7645,0.7149,-6.48
2015-10-23,0.3333,1.991,1.9648,-1.31
2016-06-13,0.3333,1.6789,1.9169,14.18
2016-07-22,0.3333,1.6789,2.225,32.52
2019-02-07,0.3333,4.9574,7.8513,58.38
2020-06-04,0.3333,13.9721,11.6206,-16.83
2020-06-25,0.3333,13.9721,11.616,-16.86
2021-11-03,0.3333,37.3256,51.9685,39.23
2023-02-03,0.3333,32.3749,16.7473,-48.27
2023-02-07,0.3333,32.3749,16.1884,-50.0
2023-02-09,0.3333,32.3749,17.2962,-46.58
2023-05-26,0.3333,13.332,20.0109,50.1
2023-12-13,0.6667,16.2174,26.6479,64.32
2024-05-29,0.3333,32.8249,51.0503,55.52
2025-07-07,0.3333,26.5673,25.6798,-3.34
2025-07-17,0.3333,26.5673,26.9074,1.28
2025-09-19,0.3333,26.5673,33.4946,26.07
