매도일,매도비중,매수평단가,매도가,수익률(%)
2010-10-28,0.3333,0.4004,0.6126,53.01
2011-06-16,0.3333,0.7645,0.7088,-7.29
2011-08-05,0.3333,0.7486,0.5082,-32.12
2012-01-20,0.3333,0.6406,0.6155,-3.92
2012-02-13,0.3333,0.6406,0.6712,4.78
2012-02-21,0.3333,0.6406,0.7149,11.61
2012-05-17,0.3333,0.5106,0.4737,-7.21
2012-08-10,0.3333,0.4446,0.5356,20.48
2012-08-21,0.3333,0.4446,0.5358,20.52
2012-10-26,0.3333,0.4446,0.3892,-12.45
2014-12-04,0.3333,1.382,2.3775,72.03
2014-12-08,0.3333,1.382,2.4241,75.4
2015-07-09,0.3333,2.173,1.9628,-9.67
2015-08-24,0.3333,1.9165,1.0193,-46.81
2015-10-23,0.3333,1.7133,1.9648,14.68
2016-01-14,0.3333,1.5978,1.2482,-21.88
2016-06-13,0.3333,1.4495,1.9169,32.25
2016-07-22,0.3333,1.4495,2.225,53.5
2016-07-27,0.3333,1.4495,2.6515,82.93
2019-02-07,0.3333,6.787,7.8513,15.68
2019-02-28,0.3333,6.787,8.3078,22.41
2019-03-22,0.3333,6.787,9.9918,47.22
2020-03-10,0.3333,13.9721,11.1063,-20.51
2020-06-04,0.3333,10.2264,11.6206,13.63
2020-06-25,0.3333,10.2264,11.616,13.59
2020-08-04,0.3333,10.2264,15.8956,55.44
2021-11-03,0.3333,37.3256,51.9685,39.23
2022-02-01,0.3333,40.3861,45.8005,13.41
2022-05-03,0.3333,43.9866,24.2826,-44.8
2022-05-13,0.3333,43.9866,20.5299,-53.33
2022-07-06,0.3333,15.4473,11.8968,-22.98
2022-10-06,0.3333,15.4473,11.268,-27.06
2023-02-03,0.3333,8.2612,16.7473,102.72
2023-05-26,0.3333,13.332,20.0109,50.1
2023-10-03,0.3333,17.6126,18.5637,5.4
2023-11-02,0.3333,14.8222,16.867,13.8
2024-05-29,0.3333,32.8249,51.0503,55.52
2024-08-07,0.3333,28.6043,31.2589,9.28
2025-04-07,0.3333,31.4247,7.8646,-74.97
2025-07-07,0.3333,24.4203,25.6798,5.16
2025-07-17,0.3333,24.4203,26.9074,10.18
2025-09-19,0.3333,24.4203,33.4946,37.16
