매도일,매도비중,매수평단가,매도가,수익률(%)
2010-10-28,0.3333,0.4004,0.6126,53.01
2011-12-06,1.0,0.7645,0.4915,-35.7
2012-08-10,0.3333,0.4646,0.5356,15.29
2012-08-21,0.3333,0.4646,0.5358,15.33
2012-10-05,0.3333,0.4646,0.4623,-0.5
2014-12-04,0.3333,1.382,2.3775,72.03
2014-12-08,0.3333,1.382,2.4241,75.4
2015-10-23,0.3333,2.0428,1.9648,-3.81
2015-12-28,0.6667,2.0428,1.8497,-9.45
2016-05-10,1.0,1.2862,1.4944,16.19
2019-02-07,0.3333,6.787,7.8513,15.68
2019-02-28,0.3333,6.787,8.3078,22.41
2019-03-22,0.3333,6.787,9.9918,47.22
2020-06-04,0.3333,12.8884,11.6206,-9.84
2020-06-25,0.3333,12.8884,11.616,-9.87
2020-08-04,0.3333,12.8884,15.8956,23.33
2021-11-03,0.3333,37.3256,51.9685,39.23
2022-09-06,1.0,42.7864,12.8848,-69.89
2023-01-03,0.3333,8.2612,10.1502,22.86
2023-05-26,0.3333,13.332,20.0109,50.1
2023-12-13,0.6667,16.2174,26.6479,64.32
2024-05-29,0.3333,32.8249,51.0503,55.52
2024-11-18,1.0,31.8348,26.6479,-16.29
2025-01-28,0.3333,27.3741,25.3904,-7.25
2025-07-07,0.3333,22.0766,25.6798,16.32
2025-07-17,0.3333,22.0766,26.9074,21.88
2025-09-19,0.3333,22.0766,33.4946,51.72
