매수일,매도일,매수가,매도가,매수시ADX,매도사유,수익률(%)
2021-09-03,2021-09-30,76400,74300,52.1,데드크로스,-2.95
2021-11-03,2021-11-12,71700,70200,28.7,데드크로스,-2.3
2021-11-15,2022-01-06,71700,76700,17.6,데드크로스,6.75
2022-02-17,2022-02-23,75000,73800,24.6,데드크로스,-1.81
2022-05-06,2022-05-10,67000,65900,20.0,데드크로스,-1.85
2022-05-18,2022-05-30,68300,67500,16.9,데드크로스,-1.38
2022-05-31,2022-06-03,67500,67200,12.1,데드크로스,-0.65
2022-07-14,2022-08-10,57500,58900,34.0,데드크로스,2.22
2022-10-07,2022-11-28,55900,60500,17.3,데드크로스,8.0
2022-12-02,2022-12-05,62500,60900,15.8,데드크로스,-2.76
2023-01-10,2023-02-21,60200,62700,16.9,데드크로스,3.93
2023-03-23,2023-04-26,60600,63600,8.8,데드크로스,4.73
2023-05-03,2023-05-11,65100,64700,19.5,데드크로스,-0.82
2023-05-19,2023-06-22,67800,70200,13.6,데드크로스,3.32
2023-06-26,2023-07-10,71700,70000,30.7,데드크로스,-2.58
2023-07-17,2023-07-21,73200,70400,22.5,데드크로스,-4.03
2023-09-04,2023-09-22,72900,68300,20.1,데드크로스,-6.51
2023-10-19,2023-10-27,69700,67100,14.6,데드크로스,-3.93
2023-11-03,2023-12-06,69700,71800,11.7,데드크로스,2.8
2023-12-12,2024-01-11,73300,72900,18.7,데드크로스,-0.75
2024-01-31,2024-02-01,73400,73000,14.5,데드크로스,-0.75
2024-02-05,2024-02-19,74200,72800,12.9,데드크로스,-2.09
2024-03-05,2024-03-07,74600,73100,11.2,데드크로스,-2.22
2024-03-14,2024-03-18,74400,72600,10.8,데드크로스,-2.62
2024-03-21,2024-04-18,79200,78800,12.3,데드크로스,-0.71
2024-05-09,2024-05-23,81100,77700,21.4,데드크로스,-4.39
2024-06-14,2024-07-23,79700,84200,16.4,데드크로스,5.42
2024-08-21,2024-08-28,77900,75800,18.9,데드크로스,-2.9
2024-11-26,2024-12-03,57900,53100,23.2,데드크로스,-8.48
2024-12-16,2024-12-20,56300,52700,17.6,데드크로스,-6.59
