이벤트일,1일수익률(%),3일수익률(%),3일변동성(%),5일수익률(%),5일변동성(%),10일수익률(%),10일변동성(%),20일수익률(%),20일변동성(%)
2010-08-31,9.3,21.61,2.49,13.14,6.05,24.9,5.41,47.43,4.77
2011-06-15,-3.38,-7.31,2.46,-1.8,4.72,1.04,4.45,-9.04,4.92
2011-08-04,-7.28,-11.26,14.97,-4.18,13.56,-23.3,10.87,-12.24,9.35
2012-05-08,-0.85,-0.03,1.86,-6.05,2.13,-17.16,4.21,-17.32,5.48
2012-05-16,-7.24,-5.72,8.1,-6.46,5.88,-9.86,5.17,-10.39,5.89
2012-10-25,1.41,11.61,5.57,10.63,5.88,3.29,5.23,2.86,4.33
2014-10-10,-6.47,0.12,6.14,7.01,4.73,28.25,4.92,44.29,4.62
2015-07-08,-4.76,3.06,5.34,4.44,4.25,-5.19,3.87,-6.08,3.81
2015-08-21,-7.67,2.56,11.94,16.28,9.51,6.84,8.18,11.8,6.68
2016-01-13,6.16,-7.83,10.09,-2.16,7.75,-2.43,5.92,-16.74,6.44
2018-10-10,-3.18,-0.52,4.91,7.84,5.75,-23.5,7.94,-0.62,7.66
2020-03-09,19.09,-31.19,25.6,-46.2,29.58,-52.86,22.55,-28.15,20.63
2022-01-31,2.98,-4.37,11.1,-2.62,7.95,-11.19,8.77,-17.95,8.63
2022-05-02,2.49,-2.08,13.18,-19.51,11.48,-12.78,10.54,1.47,9.82
2022-05-12,15.87,26.64,11.8,5.67,13.4,16.13,10.12,-3.09,9.03
2022-07-05,2.03,17.38,6.74,9.45,7.37,43.04,6.44,68.1,6.25
2022-10-05,-2.01,-27.5,7.84,-35.73,6.3,-33.71,8.6,-27.85,8.1
2022-10-10,-8.57,-3.38,8.98,-11.47,9.42,4.83,7.54,15.82,7.6
2023-10-02,-6.24,-3.56,5.22,1.57,4.78,3.83,4.65,-23.85,4.76
2023-11-01,7.08,14.42,4.66,17.05,3.85,41.88,5.26,43.01,4.49
2024-08-06,-8.26,8.5,14.74,23.44,11.28,40.27,8.88,6.02,9.37
2025-03-04,6.3,1.11,11.51,-15.69,10.32,-3.49,8.35,-22.76,6.92
2025-04-04,4.81,46.28,33.88,17.18,29.87,-0.23,20.86,49.48,15.12
