날짜,시가,고가,저가,종가,엔상1,엔상2,엔상3,엔상4,엔상5,엔하1,엔하2,엔하3,엔하4,엔하5,피4,피5,V1,V2
2026/08/14,272500,278000,266000,273000,243176.470588235,267812.18487395,293386.470588235,318491.470588235,343596.470588235,,218540.756302521,192966.470588235,167861.470588235,142756.470588235,249993.75,243939.903846154,231525.11699175,235317.4256813
2026/08/13,265000,271000,260500,263000,242411.764705882,267443.907563025,293098.193277311,318441.407563025,343784.62184874,,217379.621848739,191725.336134454,166382.121848739,141038.907563025,244256.25,239887.019230769,234987.461639374,236875.509137827
2026/08/12,242000,260500,241000,258000,242441.176470588,267609.033613445,293732.605042017,319378.319327731,345024.033613445,,217273.319327731,191149.74789916,165504.033613445,139858.319327731,239112.5,237735.576923077,239412.846693239,239477.766482401
2026/08/11,230000,243000,224000,241000,242058.823529412,267273.109243698,293958.823529412,319908.823529412,345858.823529412,,216844.537815126,190158.823529412,164208.823529412,138258.823529412,237575,237586.538461538,246200.688731666,243903.058380472
2026/08/10,234500,238500,228500,231500,242794.117647059,268031.260504202,295409.831932773,321717.68907563,348025.546218487,,217556.974789916,190178.403361345,163870.546218487,137562.68907563,235956.25,237098.557692308,252763.040280006,249355.749712455
2026/08/07,231000,239500,229000,235000,245264.705882353,270503.277310924,298699.705882353,325417.205882353,352134.705882353,,220026.134453782,191829.705882353,165112.205882353,138394.705882353,235062.5,237100.961538462,256079.433949096,252597.512216882
2026/08/06,241500,246000,228000,230000,247205.882352941,272424.453781513,301417.31092437,328523.025210084,355628.739495798,,221987.31092437,192994.453781513,165888.739495798,138783.025210084,236400,237134.615384615,259170.150013633,255264.450554277
2026/08/05,250000,254500,240000,242000,248823.529411765,274039.957983193,303818.529411765,331316.029411765,358813.529411765,,223607.100840336,193828.529411765,166331.029411765,138833.529411765,236312.5,239524.038461538,260490.566777348,257002.064583775
2026/08/04,239000,246500,227500,242000,251441.176470588,276755.462184874,307076.890756303,334894.74789916,362712.605042017,,226126.890756302,195805.462184874,167987.605042017,140169.74789916,234168.75,240622.596153846,265553.442018474,261085.74355615
2026/08/03,259000,259000,231500,233500,253823.529411765,279303.529411765,309964.243697479,338034.600840336,366104.957983193,,228343.529411765,197682.81512605,169612.457983193,141542.100840336,233706.25,243771.634615385,272630.183879694,266821.200152251
2026/07/31,225500,267000,224000,259000,255794.117647059,281368.403361345,312346.974789916,340623.403361345,368899.831932773,,230219.831932773,199241.260504202,170964.831932773,142688.403361344,237512.5,246754.807692308,274751.333503122,268495.849205673
2026/07/30,204000,226000,202000,213500,257676.470588235,283330.756302521,314437.899159664,342818.613445378,371199.327731093,,232022.18487395,200915.042016807,172534.327731092,144153.613445378,237143.75,246978.365384615,287186.37164587,276420.801709032
