Date,Open,High,Low,Close,Volume,Change
2021-08-23,2393,2495,2376,2461,523449,
2021-08-24,2457,2606,2457,2568,585249,0.04347826086956519
2021-08-25,2619,2619,2563,2610,279305,0.016355140186915973
2021-08-26,2585,2627,2568,2602,482594,-0.0030651340996168397
2021-08-27,2572,2619,2555,2606,217931,0.001537279016141424
2021-08-30,2623,2627,2580,2619,271907,0.004988488104374467
2021-08-31,2597,2649,2576,2593,566245,-0.0099274532264223
2021-09-01,2593,2627,2563,2610,271191,0.00655611261087552
2021-09-02,2623,2636,2597,2619,261252,0.0034482758620688614
2021-09-03,2619,2670,2610,2644,357965,0.009545628102329173
2021-09-06,2623,2789,2623,2777,1365387,0.05030257186081699
2021-09-07,2777,2781,2717,2781,556685,0.0014404033129276073
2021-09-08,2759,2794,2700,2721,381685,-0.02157497303128375
2021-09-09,2755,2849,2734,2759,823281,0.013965453877251122
2021-09-10,2759,2815,2708,2777,324766,0.0065241029358462654
2021-09-13,2815,2815,2742,2755,518317,-0.007922218221101951
2021-09-14,2764,2815,2725,2806,445526,0.018511796733212238
2021-09-15,2836,2977,2789,2875,2167741,0.024590163934426146
2021-09-16,2887,2904,2806,2840,617273,-0.012173913043478257
2021-09-17,2840,2909,2734,2900,776084,0.021126760563380254
2021-09-23,2866,2960,2840,2943,988544,0.014827586206896504
2021-09-24,2960,2977,2883,2892,613546,-0.01732925586136591
2021-09-27,2845,2930,2811,2853,490757,-0.013485477178423189
2021-09-28,2853,2951,2823,2943,876055,0.03154574132492116
2021-09-29,2870,3020,2853,2986,1817871,0.014610941216445905
2021-09-30,3028,3096,2964,3049,1597838,0.02109845947756206
2021-10-01,3054,3139,2981,3049,1898415,0.0
2021-10-05,2981,3028,2892,2943,1288610,-0.03476549688422437
2021-10-06,2956,3062,2853,2870,1494458,-0.024804621134896343
2021-10-07,2883,2973,2879,2973,778545,0.035888501742160184
2021-10-08,2986,3011,2909,2951,623287,-0.007399932727884306
2021-10-12,2926,3079,2896,3037,1252919,0.029142663503896937
2021-10-13,3032,3096,3032,3079,916079,0.013829436944353013
2021-10-14,3075,3131,3049,3075,719091,-0.0012991230919129348
2021-10-15,3084,3101,3028,3062,633161,-0.004227642276422805
2021-10-18,3062,3062,2968,3003,786954,-0.019268451992161983
2021-10-19,2998,3075,2981,2994,540787,-0.0029970029970030065
2021-10-20,3007,3045,2964,2973,459977,-0.007014028056112176
2021-10-21,2973,3024,2943,2956,462566,-0.005718129835183272
2021-10-22,2960,2973,2858,2879,984660,-0.02604871447902568
2021-10-25,2879,3062,2879,3011,1997513,0.045849253212921104
2021-10-26,2998,3049,2968,3015,748830,0.0013284623048821498
2021-10-27,2943,2968,2738,2819,2455984,-0.06500829187396351
2021-10-28,2785,2870,2772,2794,517644,-0.008868393047179901
2021-10-29,2789,2840,2700,2717,444369,-0.027559055118110187
2021-11-01,2717,2730,2593,2644,767308,-0.026867868973132092
